ALL_Acidovorax_carolinensis_strain_NA2_NZ_CP021359,Acidovorax_carolinensis_strain_NA2_NZ_CP021359,Acidovorax_carolinensis_strain_NA2_plasmid_pACNA2_1_NZ_CP021360,ALL_Acidovorax_carolinensis_strain_P3_NZ_CP021362,Acidovorax_carolinensis_strain_P3_NZ_CP021362,Acidovorax_carolinensis_strain_P3_plasmid_pACP3_3_NZ_CP021365,Acidovorax_carolinensis_strain_P3_plasmid_pACP3_1_NZ_CP021363,Acidovorax_carolinensis_strain_P3_plasmid_pACP3_2_NZ_CP021364,ALL_Acidovorax_carolinensis_strain_P4_NZ_CP021366,Acidovorax_carolinensis_strain_P4_plasmid_pACP4_1_NZ_CP021367,Acidovorax_carolinensis_strain_P4_NZ_CP021366,Acidovorax_carolinensis_strain_P4_plasmid_pACP4_3_NZ_CP021369,Acidovorax_carolinensis_strain_P4_plasmid_pACP4_2_NZ_CP021368,Acidovorax_carolinensis_strain_P4_plasmid_pACP4_4_NZ_CP021370,ALL_Acidovorax_citrulli_strain_M6_NZ_CP029373,Acidovorax_citrulli_strain_M6_NZ_CP029373,Acidovorax_citrulli_strain_M6_plasmid_pACM6_NZ_CP029374,ALL_Acidovorax_sp_JS42_NC_008782,Acidovorax_sp_JS42_plasmid_pAOVO01_NC_008765,Acidovorax_sp_JS42_plasmid_pAOVO02_NC_008766,Acidovorax_sp_JS42_NC_008782,ALL_Acidovorax_sp_T1_NZ_CP021648,Acidovorax_sp_T1_NZ_CP021648,Acidovorax_sp_T1_plasmid_p3_T1_NZ_CP021651,Acidovorax_sp_T1_plasmid_p2_T1_NZ_CP021650,Acidovorax_sp_T1_plasmid_p1_T1_NZ_CP021649,Acidovorax_avenae_subsp_avenae_ATCC_19860_NC_015138,Acidovorax_avenae_subsp_avenae_NZ_CP028302,Acidovorax_avenae_subsp_avenae_strain_AA78_5_NZ_CP028287,Acidovorax_avenae_subsp_avenae_strain_AA81_1_NZ_CP028288,Acidovorax_avenae_subsp_avenae_strain_AA99_2_NZ_CP028289,Acidovorax_avenae_subsp_avenae_strain_COLB1_CP028291,Acidovorax_avenae_subsp_avenae_strain_INDB2_CP028292,Acidovorax_avenae_subsp_avenae_strain_INV_CP028293,Acidovorax_avenae_subsp_avenae_strain_KL3_NZ_CP028294,Acidovorax_avenae_subsp_avenae_strain_MD5_NZ_CP028295,Acidovorax_avenae_subsp_avenae_strain_MDB1_CP028296,Acidovorax_avenae_subsp_avenae_strain_MOR_CP028297,Acidovorax_avenae_subsp_avenae_strain_NCT3_CP028298,Acidovorax_avenae_subsp_avenae_strain_QH1_CP028299,Acidovorax_avenae_subsp_avenae_strain_QHB1_CP028300,Acidovorax_avenae_subsp_avenae_strain_SH7_NZ_CP028303,Acidovorax_avenae_subsp_avenae_strain_Sa2_CP028301,Acidovorax_carolinensis_strain_NA3_chromosome_1_NZ_CP021361,Acidovorax_cattleyae_strain_CAT98_1_NZ_CP028290,Acidovorax_citrulli_AAC00_1_NC_008752,Acidovorax_citrulli_strain_KACC17005_NZ_CP023687,Acidovorax_ebreus_TPSY_NC_011992,Acidovorax_sp_1608163_NZ_CP033069,Acidovorax_sp_HDW3_NZ_CP049885,Acidovorax_sp_KKS102_NC_018708,Acidovorax_sp_RAC01_NZ_CP016447
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CCX87_RS02430, ,psos,IS3 family transposase","CCX87_RS02430, ,psos,IS3 family transposase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","BSY15_RS17410, ,psos,IS3 family transposase"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CCX87_RS02505, ,psos,IS66 family transposase,IDENTICAL PARALOGS:,CCX87_RS17750,IS66 family transposase","CCX87_RS02505, ,psos,IS66 family transposase,IDENTICAL PARALOGS:,CCX87_RS17750,IS66 family transposase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","BSY15_RS16150, ,psos,IS66 family transposase"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CCX87_RS04430, ,psos,hypothetical protein","CCX87_RS04430, ,psos,hypothetical protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","BSY15_RS19760, ,psos,hypothetical protein"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","ACAV_RS06755, ,psos,3-oxoacyl-ACP reductase FabG","C8244_RS06190, ,psos,3-oxoacyl-ACP reductase FabG","C8241_RS06655, ,psos,3-oxoacyl-ACP reductase FabG","C8245_RS24805, ,psos,3-oxoacyl-ACP reductase FabG","C8247_RS05810, ,psos,3-oxoacyl-ACP reductase FabG","C8234_04500, ,psos,3-oxoacyl-ACP reductase FabG","C8237_05630, ,psos,3-oxoacyl-ACP reductase FabG","C8239_06090, ,psos,3-oxoacyl-ACP reductase FabG","C8238_RS05920, ,psos,3-oxoacyl-ACP reductase FabG"," - , -","C8232_03230, ,psos,3-oxoacyl-ACP reductase FabG"," - , -","C8243_05755, ,psos,3-oxoacyl-ACP reductase FabG","C8248_05650, ,psos,3-oxoacyl-ACP reductase FabG","C8242_05200, ,psos,3-oxoacyl-ACP reductase FabG","C7Y68_RS06560, ,psos,3-oxoacyl-ACP reductase FabG"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","EAG14_RS04590, ,psos,3-oxoacyl-ACP reductase FabG"," - , -"," - , -"," - , -"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","ACAV_RS06760, ,psos,3-hydroxyacyl-ACP dehydratase","C8244_RS06195, ,psos,beta-hydroxyacyl-ACP dehydratase","C8241_RS06660, ,psos,beta-hydroxyacyl-ACP dehydratase","C8245_RS24800, ,psos,beta-hydroxyacyl-ACP dehydratase","C8247_RS05815, ,psos,beta-hydroxyacyl-ACP dehydratase","C8234_04505, ,psos,beta-hydroxyacyl-ACP dehydratase","C8237_05635, ,psos,beta-hydroxyacyl-ACP dehydratase","C8239_06095, ,psos,beta-hydroxyacyl-ACP dehydratase","C8238_RS05925, ,psos,beta-hydroxyacyl-ACP dehydratase"," - , -","C8232_03235, ,psos,beta-hydroxyacyl-ACP dehydratase"," - , -","C8243_05760, ,psos,beta-hydroxyacyl-ACP dehydratase","C8248_05655, ,psos,beta-hydroxyacyl-ACP dehydratase","C8242_05205, ,psos,beta-hydroxyacyl-ACP dehydratase","C7Y68_RS06565, ,psos,beta-hydroxyacyl-ACP dehydratase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","EAG14_RS04585, ,psos,hotdog family protein"," - , -"," - , -"," - , -"
"CBP33_RS00055, ,psos,PHB depolymerase family esterase","CBP33_RS00055, ,psos,PHB depolymerase family esterase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CBP36_RS00085, ,psos,PHB depolymerase family esterase"," - , -","CBP36_RS00085, ,psos,PHB depolymerase family esterase"," - , -"," - , -"," - , -","APS58_RS05330, ,psos,PHB depolymerase family esterase","APS58_RS05330, ,psos,PHB depolymerase family esterase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","C8244_RS08110, ,psos,PHB depolymerase family esterase","C8241_RS05165, ,psos,PHB depolymerase family esterase","C8245_RS00600, ,psos,PHB depolymerase family esterase","C8247_RS04445, ,psos,PHB depolymerase family esterase","C8234_03160, ,psos,esterase","C8237_07400, ,psos,esterase","C8239_04630, ,psos,esterase","C8238_RS04585, ,psos,PHB depolymerase family esterase","C8246_RS05055, ,psos,PHB depolymerase family esterase"," - , -","C8236_05015, ,psos,esterase"," - , -","C8248_04165, ,psos,esterase"," - , -","C7Y68_RS08865, ,psos,PHB depolymerase family esterase"," - , -"," - , -","C8240_RS17715, ,psos,PHB depolymerase family esterase","AAVE_RS20025, ,psos,PHB depolymerase family esterase","CQB05_RS08255, ,psos,PHB depolymerase family esterase"," - , -"," - , -"," - , -"," - , -","BSY15_RS07300, ,psos,PHB depolymerase family esterase"
"CBP33_RS07495, ,psos,hypothetical protein","CBP33_RS07495, ,psos,hypothetical protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CBP36_RS08065, ,psos,hypothetical protein"," - , -","CBP36_RS08065, ,psos,hypothetical protein"," - , -"," - , -"," - , -","APS58_RS15995, ,psos,hypothetical protein","APS58_RS15995, ,psos,hypothetical protein"," - , -","AJS_RS13100, ,psos,hypothetical protein"," - , -"," - , -","AJS_RS13100, ,psos,hypothetical protein","CCX87_RS11770, ,psos,hypothetical protein","CCX87_RS11770, ,psos,hypothetical protein"," - , -"," - , -"," - , -","ACAV_RS07505, ,psos,hypothetical protein"," - , -","C8241_RS07335, ,psos,hypothetical protein","C8245_RS24045, ,psos,hypothetical protein","C8247_RS06525, ,psos,hypothetical protein","C8234_05210, ,psos,hypothetical protein"," - , -","C8239_06725, ,psos,hypothetical protein","C8238_RS06645, ,psos,hypothetical protein","C8246_RS07085, ,psos,hypothetical protein","C8232_03975, ,psos,hypothetical protein"," - , -","C8243_06525, ,psos,hypothetical protein"," - , -","C8242_05960, ,psos,hypothetical protein"," - , -"," - , -","CBP34_RS07400, ,psos,hypothetical protein"," - , -","AAVE_RS07375, ,psos,hypothetical protein","CQB05_RS13355, ,psos,hypothetical protein","DTPSY_RS05935, ,psos,hypothetical protein","EAG14_RS07785, ,psos,hypothetical protein","G7045_RS04675, ,psos,hypothetical protein","C380_RS15730, ,psos,hypothetical protein","BSY15_RS00270, ,psos,hypothetical protein"
"CBP33_RS11955, ,psos,type II toxin-antitoxin system VapC family toxin","CBP33_RS11955, ,psos,type II toxin-antitoxin system VapC family toxin"," - , -","CBP35_RS16970, ,psos,type II toxin-antitoxin system VapC family toxin","CBP35_RS16970, ,psos,type II toxin-antitoxin system VapC family toxin"," - , -"," - , -"," - , -","CBP36_RS01975, ,psos,type II toxin-antitoxin system VapC family toxin"," - , -","CBP36_RS01975, ,psos,type II toxin-antitoxin system VapC family toxin","CBP36_RS21340, ,psos,type II toxin-antitoxin system VapC family toxin"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CCX87_RS01820, ,psos,type II toxin-antitoxin system VapC family toxin","CCX87_RS01820, ,psos,type II toxin-antitoxin system VapC family toxin"," - , -"," - , -","CCX87_RS19285, ,psos,type II toxin-antitoxin system VapC family toxin","ACAV_RS00815, ,psos,type II toxin-antitoxin system VapC family toxin"," - , -","C8241_RS00745, ,psos,type II toxin-antitoxin system VapC family toxin","C8245_RS05295, ,psos,type II toxin-antitoxin system VapC family toxin"," - , -"," - , -"," - , -","C8239_00820, ,psos,VapC toxin family PIN domain ribonuclease"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","G7045_RS06190, ,psos,type II toxin-antitoxin system VapC family toxin"," - , -"," - , -"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CCX87_RS13450, ,psos,DUF2779 domain-containing protein","CCX87_RS13450, ,psos,DUF2779 domain-containing protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","BSY15_RS19915, ,psos,DUF2779 domain-containing protein"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","C8234_01525, ,psos,hypothetical protein"," - , -","C8239_02765, ,psos,hypothetical protein","C8238_RS02330, ,psos,hypothetical protein","C8246_RS12265, ,psos,hypothetical protein"," - , -"," - , -","C8243_02160, ,psos,hypothetical protein"," - , -","C8242_02555, ,psos,hypothetical protein","C7Y68_RS02665, ,psos,hypothetical protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","C8234_01530, ,psos,hypothetical protein"," - , -","C8239_02770, ,psos,hypothetical protein","C8238_RS02335, ,psos,hypothetical protein","C8246_RS12260, ,psos,hypothetical protein"," - , -"," - , -","C8243_02165, ,psos,hypothetical protein"," - , -","C8242_02560, ,psos,hypothetical protein","C7Y68_RS02670, ,psos,hypothetical protein"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","C8234_01535, ,psos,farnesyl-diphosphate synthase"," - , -","C8239_02775, ,psos,farnesyl-diphosphate synthase","C8238_RS02340, ,psos,farnesyl-diphosphate synthase","C8246_RS12255, ,psos,farnesyl-diphosphate synthase"," - , -"," - , -","C8243_02170, ,psos,farnesyl-diphosphate synthase"," - , -","C8242_02565, ,psos,farnesyl-diphosphate synthase","C7Y68_RS02675, ,psos,farnesyl-diphosphate synthase"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","C8234_01540, ,psos,cytochrome P450"," - , -","C8239_02780, ,psos,cytochrome P450","C8238_RS02345, ,psos,cytochrome P450","C8246_RS12250, ,psos,cytochrome P450"," - , -"," - , -","C8243_02175, ,psos,cytochrome P450"," - , -","C8242_02570, ,psos,cytochrome P450","C7Y68_RS02680, ,psos,cytochrome P450"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","C8234_01550, ,psos,3Fe-4S ferredoxin"," - , -","C8239_02790, ,psos,3Fe-4S ferredoxin","C8238_RS02355, ,psos,ferredoxin","C8246_RS12240, ,psos,ferredoxin"," - , -"," - , -","C8243_02185, ,psos,3Fe-4S ferredoxin"," - , -","C8242_02580, ,psos,3Fe-4S ferredoxin","C7Y68_RS02690, ,psos,ferredoxin"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","C8234_01555, ,psos,cytochrome"," - , -","C8239_02795, ,psos,cytochrome","C8238_RS02360, ,psos,cytochrome P450","C8246_RS12235, ,psos,cytochrome P450"," - , -"," - , -","C8243_02190, ,psos,cytochrome"," - , -","C8242_02585, ,psos,cytochrome","C7Y68_RS02695, ,psos,cytochrome P450"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","C8234_01560, ,psos,cytochrome"," - , -","C8239_02800, ,psos,cytochrome","C8238_RS02365, ,psos,cytochrome P450","C8246_RS12230, ,psos,cytochrome P450"," - , -"," - , -","C8243_02195, ,psos,cytochrome"," - , -","C8242_02590, ,psos,cytochrome","C7Y68_RS02700, ,psos,cytochrome P450"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
" - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","C8234_01565, ,psos,cytochrome P450"," - , -","C8239_02805, ,psos,cytochrome P450","C8238_RS02370, ,psos,cytochrome P450","C8246_RS12225, ,psos,cytochrome P450"," - , -"," - , -","C8243_02200, ,psos,cytochrome P450"," - , -","C8242_02595, ,psos,cytochrome P450","C7Y68_RS02705, ,psos,cytochrome P450"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -"
"CBP33_RS03155, ,psos,OsmC family protein","CBP33_RS03155, ,psos,OsmC family protein"," - , -","CBP35_RS15365, ,psos,osmotically inducible protein C","CBP35_RS15365, ,psos,osmotically inducible protein C"," - , -"," - , -"," - , -","CBP36_RS03580, ,psos,osmotically inducible protein C"," - , -","CBP36_RS03580, ,psos,osmotically inducible protein C"," - , -"," - , -"," - , -","APS58_RS13080, ,psos,OsmC family protein","APS58_RS13080, ,psos,OsmC family protein"," - , -","AJS_RS03405, ,psos,osmotically inducible protein C"," - , -"," - , -","AJS_RS03405, ,psos,osmotically inducible protein C","CCX87_RS15175, ,psos,OsmC family protein","CCX87_RS15175, ,psos,OsmC family protein"," - , -"," - , -"," - , -","ACAV_RS04300, ,psos,osmotically inducible protein C","C8244_RS03795, ,psos,osmotically inducible protein C","C8241_RS04010, ,psos,osmotically inducible protein C","C8245_RS01765, ,psos,osmotically inducible protein C","C8247_RS03455, ,psos,osmotically inducible protein C"," - , -"," - , -"," - , -","C8238_RS03645, ,psos,osmotically inducible protein C","C8246_RS10660, ,psos,osmotically inducible protein C"," - , -","C8236_03990, ,psos,osmotically inducible protein C"," - , -","C8248_03180, ,psos,osmotically inducible protein C"," - , -","C7Y68_RS04205, ,psos,osmotically inducible protein C","C8235_03195, ,psos,osmotically inducible protein C","CBP34_RS03100, ,psos,osmotically inducible protein C","C8240_RS03460, ,psos,osmotically inducible protein C","AAVE_RS04570, ,psos,OsmC family protein","CQB05_RS16200, ,psos,OsmC family protein","DTPSY_RS03265, ,psos,osmotically inducible protein C","EAG14_RS18005, ,psos,osmotically inducible protein C","G7045_RS01700, ,psos,OsmC family protein","C380_RS03845, ,psos,OsmC family protein","BSY15_RS10790, ,psos,OsmC family protein"
"CBP33_RS03335, ,psos,chaperonin GroEL","CBP33_RS03335, ,psos,chaperonin GroEL"," - , -","CBP35_RS15190, ,psos,chaperonin GroEL","CBP35_RS15190, ,psos,chaperonin GroEL"," - , -"," - , -"," - , -","CBP36_RS03755, ,psos,chaperonin GroEL"," - , -","CBP36_RS03755, ,psos,chaperonin GroEL"," - , -"," - , -"," - , -","APS58_RS13160, ,psos,chaperonin GroEL","APS58_RS13160, ,psos,chaperonin GroEL"," - , -","AJS_RS03500, ,psos,chaperonin GroEL"," - , -"," - , -","AJS_RS03500, ,psos,chaperonin GroEL","CCX87_RS14990, ,psos,chaperonin GroEL","CCX87_RS14990, ,psos,chaperonin GroEL"," - , -"," - , -"," - , -","ACAV_RS04455, ,psos,chaperonin GroEL","C8244_RS03945, ,psos,chaperonin GroEL","C8241_RS04170, ,psos,chaperonin GroEL","C8245_RS01610, ,psos,chaperonin GroEL","C8247_RS03605, ,psos,chaperonin GroEL"," - , -"," - , -"," - , -","C8238_RS03800, ,psos,chaperonin GroEL","C8246_RS10505, ,psos,chaperonin GroEL"," - , -","C8236_04145, ,psos,chaperonin GroEL"," - , -","C8248_03335, ,psos,chaperonin GroEL"," - , -","C7Y68_RS04360, ,psos,chaperonin GroEL","C8235_03350, ,psos,chaperonin GroEL","CBP34_RS03275, ,psos,chaperonin GroEL","C8240_RS03625, ,psos,chaperonin GroEL","AAVE_RS04645, ,psos,chaperonin GroEL","CQB05_RS16125, ,psos,chaperonin GroEL","DTPSY_RS03355, ,psos,chaperonin GroEL","EAG14_RS17800, ,psos,chaperonin GroEL","G7045_RS01570, ,psos,chaperonin GroEL","C380_RS04070, ,psos,chaperonin GroEL","BSY15_RS03860, ,psos,chaperonin GroEL"
"CBP33_RS03340, ,psos,co-chaperone GroES","CBP33_RS03340, ,psos,co-chaperone GroES"," - , -","CBP35_RS15185, ,psos,co-chaperone GroES","CBP35_RS15185, ,psos,co-chaperone GroES"," - , -"," - , -"," - , -","CBP36_RS03760, ,psos,co-chaperone GroES"," - , -","CBP36_RS03760, ,psos,co-chaperone GroES"," - , -"," - , -"," - , -","APS58_RS13165, ,psos,co-chaperone GroES","APS58_RS13165, ,psos,co-chaperone GroES"," - , -","AJS_RS03505, ,psos,co-chaperone GroES"," - , -"," - , -","AJS_RS03505, ,psos,co-chaperone GroES","CCX87_RS14985, ,psos,co-chaperone GroES","CCX87_RS14985, ,psos,co-chaperone GroES"," - , -"," - , -"," - , -","ACAV_RS04460, ,psos,co-chaperone GroES","C8244_RS03950, ,psos,co-chaperone GroES","C8241_RS04175, ,psos,co-chaperone GroES","C8245_RS01605, ,psos,co-chaperone GroES","C8247_RS03610, ,psos,co-chaperone GroES"," - , -"," - , -"," - , -","C8238_RS03805, ,psos,co-chaperone GroES","C8246_RS10500, ,psos,co-chaperone GroES"," - , -","C8236_04150, ,psos,co-chaperone GroES"," - , -","C8248_03340, ,psos,co-chaperone GroES"," - , -","C7Y68_RS04365, ,psos,co-chaperone GroES","C8235_03355, ,psos,co-chaperone GroES","CBP34_RS03280, ,psos,co-chaperone GroES","C8240_RS03630, ,psos,co-chaperone GroES","AAVE_RS04650, ,psos,co-chaperone GroES","CQB05_RS16120, ,psos,co-chaperone GroES","DTPSY_RS03360, ,psos,co-chaperone GroES","EAG14_RS17795, ,psos,co-chaperone GroES","G7045_RS01575, ,psos,co-chaperone GroES","C380_RS04075, ,psos,co-chaperone GroES","BSY15_RS03855, ,psos,co-chaperone GroES"
"CBP33_RS04445, ,psos,urea ABC transporter ATP-binding subunit UrtE","CBP33_RS04445, ,psos,urea ABC transporter ATP-binding subunit UrtE"," - , -"," - , -"," - , -"," - , -"," - , -"," - , -","CBP36_RS04875, ,psos,urea ABC transporter ATP-binding subunit UrtE"," - , -","CBP36_RS04875, ,psos,urea ABC transporter ATP-binding subunit UrtE"," - , -"," - , -"," - , -","APS58_RS02645, ,psos,urea ABC transporter ATP-binding subunit UrtE","APS58_RS02645, ,psos,urea ABC transporter ATP-binding subunit UrtE"," - , -"," - , -"," - , -"," - , -"," - , -","CCX87_RS13900, ,psos,urea ABC transporter ATP-binding subunit UrtE","CCX87_RS13900, ,psos,urea ABC transporter ATP-binding subunit UrtE"," - , -"," - , -"," - , -","ACAV_RS16745, ,psos,urea ABC transporter ATP-binding subunit UrtE","C8244_RS15685, ,psos,urea ABC transporter ATP-binding subunit UrtE","C8241_RS00990, ,psos,urea ABC transporter ATP-binding subunit UrtE","C8245_RS13195, ,psos,urea ABC transporter ATP-binding subunit UrtE"," - , -","C8234_11740, ,psos,urea ABC transporter ATP-binding subunit UrtE","C8237_00930, ,psos,urea ABC transporter ATP-binding subunit UrtE","C8239_13190, ,psos,urea ABC transporter ATP-binding subunit UrtE","C8238_RS14395, ,psos,urea ABC transporter ATP-binding subunit UrtE","C8246_RS22815, ,psos,urea ABC transporter ATP-binding subunit UrtE","C8232_10465, ,psos,urea ABC transporter ATP-binding subunit UrtE","C8236_13905, ,psos,urea ABC transporter ATP-binding subunit UrtE","C8243_14100, ,psos,urea ABC transporter ATP-binding subunit UrtE","C8248_13705, ,psos,urea ABC transporter ATP-binding subunit UrtE","C8242_14390, ,psos,urea ABC transporter ATP-binding subunit UrtE","C7Y68_RS15485, ,psos,urea ABC transporter ATP-binding subunit UrtE","C8235_11280, ,psos,urea ABC transporter ATP-binding subunit UrtE","CBP34_RS04395, ,psos,urea ABC transporter ATP-binding subunit UrtE","C8240_RS00740, ,psos,urea ABC transporter ATP-binding subunit UrtE","AAVE_RS17440, ,psos,urea ABC transporter ATP-binding subunit UrtE","CQB05_RS05580, ,psos,urea ABC transporter ATP-binding subunit UrtE"," - , -","EAG14_RS14175, ,psos,urea ABC transporter ATP-binding subunit UrtE"," - , -","C380_RS05105, ,psos,urea ABC transporter ATP-binding subunit UrtE","BSY15_RS02875, ,psos,urea ABC transporter ATP-binding subunit UrtE"
