,ALL_Thiomonas_arsenitoxydans_strain_3As_NC_014145,ALL_Thiomonas_intermedia_K12_NC_014153,ALL_Thiomonas_intermedia_strain_ATCC_15466_NZ_CP020046,ALL_Thiomonas_sp_Bio17B3_chromosome_BIO17B3_NZ_LR131947,ALL_Thiomonas_sp_CB2_chromosome_CB2_NZ_LR131956,ALL_Thiomonas_sp_OC7_chromosome_OC7_NZ_LR131953,ALL_Thiomonas_sp_Sup16B3_chromosome_SUP16B3_NZ_LR131950,ALL_Thiomonas_sp_X19_chromosome_THIX_NZ_LT605203
TINT_RS13030,1,1,1,1,1,1,1,1
BVH73_RS10450,1,1,1,1,1,1,1,1
GO970_RS06150,1,1,1,1,1,1,1,1
GO948_RS12450,1,1,1,1,1,1,1,1
TOC7_RS06150,1,1,1,1,1,1,1,1
GO985_RS05920,1,1,1,1,1,1,1,1
THIX_RS04565,1,1,1,1,1,1,1,1
THI_RS14795,1,1,1,1,1,1,1,1
TINT_RS09655,1,1,1,1,1,1,1,1
BVH73_RS14210,1,1,1,1,1,1,1,1
GO970_RS18890,1,1,1,1,1,1,1,1
GO948_RS01750,1,1,1,1,1,1,1,1
TOC7_RS17035,1,1,1,1,1,1,1,1
GO985_RS13775,1,1,1,1,1,1,1,1
THIX_RS10830,1,1,1,1,1,1,1,1
THI_RS05790,1,1,1,1,1,1,1,1
TINT_RS05065,1,1,1,1,1,1,1,1
BVH73_RS13165,1,1,1,1,1,1,1,1
GO970_RS03840,1,1,1,1,1,1,1,1
GO948_RS14765,1,1,1,1,1,1,1,1
TOC7_RS03815,1,1,1,1,1,1,1,1
GO985_RS08220,1,1,1,1,1,1,1,1
THIX_RS10055,1,1,1,1,1,1,1,1
THI_RS06090,1,1,1,1,1,1,1,1
TINT_RS05270,1,1,1,1,1,1,1,1
BVH73_RS12970,1,1,1,1,1,1,1,1
GO970_RS03635,1,1,1,1,1,1,1,1
GO948_RS14970,1,1,1,1,1,1,1,1
TOC7_RS03610,1,1,1,1,1,1,1,1
GO985_RS08425,1,1,1,1,1,1,1,1
THIX_RS04420,1,1,1,1,1,1,1,1
THI_RS06155,1,1,1,1,1,1,1,1
TINT_RS05335,1,1,1,1,1,1,1,1
BVH73_RS13035,1,1,1,1,1,1,1,1
GO970_RS03570,1,1,1,1,1,1,1,1
GO948_RS15035,1,1,1,1,1,1,1,1
TOC7_RS03545,1,1,1,1,1,1,1,1
GO985_RS08490,1,1,1,1,1,1,1,1
THIX_RS06540,1,1,1,1,1,1,1,1
THI_RS08375,1,1,1,1,1,1,1,1
TINT_RS07195,1,1,1,1,1,1,1,1
BVH73_RS15205,1,1,1,1,1,1,1,1
GO970_RS00760,1,1,1,1,1,1,1,1
GO948_RS17830,1,1,1,1,1,1,1,1
TOC7_RS00750,1,1,1,1,1,1,1,1
GO985_RS11290,1,1,1,1,1,1,1,1
THIX_RS16735,1,1,1,1,1,1,1,1
THI_RS14530,1,1,1,1,1,1,1,1
TINT_RS15320,1,1,1,1,1,1,1,1
BVH73_RS01255,1,1,1,1,1,1,1,1
GO970_RS19095,1,1,1,1,1,1,1,1
GO948_RS01545,1,1,1,1,1,1,1,1
TOC7_RS17240,1,1,1,1,1,1,1,1
GO985_RS13570,1,1,1,1,1,1,1,1
THIX_RS10355,1,1,1,1,1,1,1,1
THI_RS05785,1,1,1,1,1,1,1,1
TINT_RS05050,1,1,1,1,1,1,1,1
BVH73_RS13160,1,1,1,1,1,1,1,1
GO970_RS03845,1,1,1,1,1,1,1,1
GO948_RS14760,1,1,1,1,1,1,1,1
TOC7_RS03820,1,1,1,1,1,1,1,1
GO985_RS08215,1,1,1,1,1,1,1,1
THIX_RS10050,1,1,1,1,1,1,1,1
THI_RS06395,1,1,1,1,1,1,1,1
TINT_RS05540,1,1,1,1,1,1,1,1
BVH73_RS00965,1,1,1,1,1,1,1,1
GO970_RS02545,1,1,1,1,1,1,1,1
GO948_RS16040,1,1,1,1,1,1,1,1
TOC7_RS02540,1,1,1,1,1,1,1,1
GO985_RS09500,1,1,1,1,1,1,1,1
THIX_RS19310,1,1,1,1,1,1,1,1
THI_RS09320,1,1,1,1,1,1,1,1
TINT_RS08265,1,1,1,1,1,1,1,1
BVH73_RS14125,1,1,1,1,1,1,1,1
GO970_RS00270,1,1,1,1,1,1,1,1
GO948_RS18320,1,1,1,1,1,1,1,1
TOC7_RS00255,1,1,1,1,1,1,1,1
GO985_RS11775,1,1,1,1,1,1,1,1
THIX_RS17700,1,1,1,1,1,1,1,1
THI_RS06710,1,1,1,1,1,1,1,1
TINT_RS05765,1,1,1,1,1,1,1,1
BVH73_RS00740,1,1,1,1,1,1,1,1
GO970_RS02310,1,1,1,1,1,1,1,1
GO948_RS16280,1,1,1,1,1,1,1,1
TOC7_RS02300,1,1,1,1,1,1,1,1
GO985_RS09740,1,1,1,1,1,1,1,1
THIX_RS00985,1,1,1,1,1,1,1,1
THI_RS11265,1,1,1,1,1,1,1,1
TINT_RS10615,1,1,1,1,1,1,1,1
BVH73_RS02365,1,1,1,1,1,1,1,1
GO970_RS15955,1,1,1,1,1,1,1,1
GO948_RS02720,1,1,1,1,1,1,1,1
TOC7_RS16055,1,1,1,1,1,1,1,1
GO985_RS14740,1,1,1,1,1,1,1,1
THIX_RS17400,1,1,1,1,1,1,1,1
THI_RS14865,1,1,1,1,1,1,1,1
TINT_RS13450,1,1,1,1,1,1,1,1
BVH73_RS10155,1,1,1,1,1,1,1,1
GO970_RS06550,1,1,1,1,1,1,1,1
GO948_RS12050,1,1,1,1,1,1,1,1
TOC7_RS06550,1,1,1,1,1,1,1,1
GO985_RS05520,1,1,1,1,1,1,1,1
THIX_RS20385,1,1,1,1,1,1,1,1
THI_RS03600,1,1,1,1,1,1,1,1
TINT_RS03110,1,1,1,1,1,1,1,1
BVH73_RS04865,1,1,1,1,1,1,1,1
GO970_RS13585,1,1,1,1,1,1,1,1
GO948_RS05060,1,1,1,1,1,1,1,1
TOC7_RS13645,1,1,1,1,1,1,1,1
GO985_RS17100,1,1,1,1,1,1,1,1
THIX_RS08035,1,1,1,1,1,1,1,1
THI_RS03925,1,1,1,1,1,1,1,1
TINT_RS03395,1,1,1,1,1,1,1,1
BVH73_RS04620,1,1,1,1,1,1,1,1
GO970_RS13880,1,1,1,1,1,1,1,1
GO948_RS04765,1,1,1,1,1,1,1,1
TOC7_RS13940,1,1,1,1,1,1,1,1
GO985_RS16805,1,1,1,1,1,1,1,1
THIX_RS19085,1,1,1,1,1,1,1,1
THI_RS08640,1,1,1,1,1,1,1,1
TINT_RS07460,1,1,1,1,1,1,1,1
BVH73_RS00035,1,1,1,1,1,1,1,1
GO970_RS00485,1,1,1,1,1,1,1,1
GO948_RS18105,1,1,1,1,1,1,1,1
TOC7_RS00475,1,1,1,1,1,1,1,1
GO985_RS11560,1,1,1,1,1,1,1,1
THIX_RS07385,1,1,1,1,1,1,1,1
THI_RS15430,1,1,1,1,1,1,1,1
TINT_RS13990,1,1,1,1,1,1,1,1
BVH73_RS06520,1,1,1,1,1,1,1,1
GO970_RS07095,1,1,1,1,1,1,1,1
GO948_RS11505,1,1,1,1,1,1,1,1
TOC7_RS07095,1,1,1,1,1,1,1,1
GO985_RS04975,1,1,1,1,1,1,1,1
THIX_RS03225,1,1,1,1,1,1,1,1
THI_RS08040,1,1,1,1,1,1,1,1
TINT_RS06995,1,1,1,1,1,1,1,1
BVH73_RS14915,1,1,1,1,1,1,1,1
GO970_RS01075,1,1,1,1,1,1,1,1
GO948_RS17515,1,1,1,1,1,1,1,1
TOC7_RS01065,1,1,1,1,1,1,1,1
GO985_RS10975,1,1,1,1,1,1,1,1
THIX_RS16790,1,1,1,1,1,1,1,1
THI_RS16005,1,1,1,1,1,1,1,1
TINT_RS14550,1,1,1,1,1,1,1,1
BVH73_RS07120,1,1,1,1,1,1,1,1
GO970_RS07660,1,1,1,1,1,1,1,1
GO948_RS10940,1,1,1,1,1,1,1,1
TOC7_RS07680,1,1,1,1,1,1,1,1
GO985_RS04405,1,1,1,1,1,1,1,1
THIX_RS21460,1,1,1,1,1,1,1,1
THI_RS01875,1,1,1,1,1,1,1,1
TINT_RS01835,1,1,1,1,1,1,1,1
BVH73_RS05715,1,1,1,1,1,1,1,1
GO970_RS11425,1,1,1,1,1,1,1,1
GO948_RS07205,1,1,1,1,1,1,1,1
TOC7_RS11480,1,1,1,1,1,1,1,1
GO985_RS00635,1,1,1,1,1,1,1,1
THIX_RS04880,1,1,1,1,1,1,1,1
THI_RS02930,1,1,1,1,1,1,1,1
TINT_RS02610,1,1,1,1,1,1,1,1
BVH73_RS05565,1,1,1,1,1,1,1,1
GO970_RS12890,1,1,1,1,1,1,1,1
GO948_RS05755,1,1,1,1,1,1,1,1
TOC7_RS12950,1,1,1,1,1,1,1,1
GO985_RS17795,1,1,1,1,1,1,1,1
THIX_RS05030,1,1,1,1,1,1,1,1
THI_RS03400,1,1,1,1,1,1,1,1
TINT_RS02910,1,1,1,1,1,1,1,1
BVH73_RS05105,1,1,1,1,1,1,1,1
GO970_RS13350,1,1,1,1,1,1,1,1
GO948_RS05295,1,1,1,1,1,1,1,1
TOC7_RS13410,1,1,1,1,1,1,1,1
GO985_RS17335,1,1,1,1,1,1,1,1
THIX_RS20455,1,1,1,1,1,1,1,1
THI_RS08005,1,1,1,1,1,1,1,1
TINT_RS06960,1,1,1,1,1,1,1,1
BVH73_RS14870,1,1,1,1,1,1,1,1
GO970_RS01105,1,1,1,1,1,1,1,1
GO948_RS17485,1,1,1,1,1,1,1,1
TOC7_RS01095,1,1,1,1,1,1,1,1
GO985_RS10945,1,1,1,1,1,1,1,1
THIX_RS13190,1,1,1,1,1,1,1,1
THI_RS08465,1,1,1,1,1,1,1,1
TINT_RS07285,1,1,1,1,1,1,1,1
BVH73_RS15245,1,1,1,1,1,1,1,1
GO970_RS00660,1,1,1,1,1,1,1,1
GO948_RS17930,1,1,1,1,1,1,1,1
TOC7_RS00650,1,1,1,1,1,1,1,1
GO985_RS11385,1,1,1,1,1,1,1,1
THIX_RS13870,1,1,1,1,1,1,1,1
THI_RS03045,1,1,1,1,1,1,1,1
TINT_RS02725,1,1,1,1,1,1,1,1
BVH73_RS05455,1,1,1,1,1,1,1,1
GO970_RS13005,1,1,1,1,1,1,1,1
GO948_RS05640,1,1,1,1,1,1,1,1
TOC7_RS13065,1,1,1,1,1,1,1,1
GO985_RS17680,1,1,1,1,1,1,1,1
THIX_RS22155,1,1,1,1,1,1,1,1
THI_RS03780,1,1,1,1,1,1,1,1
TINT_RS03250,1,1,1,1,1,1,1,1
BVH73_RS04745,1,1,1,1,1,1,1,1
GO970_RS13715,1,1,1,1,1,1,1,1
GO948_RS04930,1,1,1,1,1,1,1,1
TOC7_RS13775,1,1,1,1,1,1,1,1
GO985_RS16970,1,1,1,1,1,1,1,1
THIX_RS02325,1,1,1,1,1,1,1,1
THI_RS07280,1,1,1,1,1,1,1,1
TINT_RS06380,1,1,1,1,1,1,1,1
BVH73_RS07670,1,1,1,1,1,1,1,1
GO970_RS01690,1,1,1,1,1,1,1,1
GO948_RS16900,1,1,1,1,1,1,1,1
TOC7_RS01680,1,1,1,1,1,1,1,1
GO985_RS10360,1,1,1,1,1,1,1,1
THIX_RS03475,1,1,1,1,1,1,1,1
THI_RS15040,1,1,1,1,1,1,1,1
TINT_RS13600,1,1,1,1,1,1,1,1
BVH73_RS09935,1,1,1,1,1,1,1,1
GO970_RS06700,1,1,1,1,1,1,1,1
GO948_RS11900,1,1,1,1,1,1,1,1
TOC7_RS06700,1,1,1,1,1,1,1,1
GO985_RS05370,1,1,1,1,1,1,1,1
THIX_RS04175,1,1,1,1,1,1,1,1
THI_RS15930,1,1,1,1,1,1,1,1
TINT_RS14475,1,1,1,1,1,1,1,1
BVH73_RS07045,1,1,1,1,1,1,1,1
GO970_RS07585,1,1,1,1,1,1,1,1
GO948_RS11015,1,1,1,1,1,1,1,1
TOC7_RS07605,1,1,1,1,1,1,1,1
GO985_RS04480,1,1,1,1,1,1,1,1
THIX_RS20790,1,1,1,1,1,1,1,1
THI_RS17625,1,1,1,1,1,1,1,1
TINT_RS16020,1,1,1,1,1,1,1,1
BVH73_RS08250,1,1,1,1,1,1,1,1
GO970_RS09310,1,1,1,1,1,1,1,1
GO948_RS09305,1,1,1,1,1,1,1,1
TOC7_RS09325,1,1,1,1,1,1,1,1
GO985_RS02750,1,1,1,1,1,1,1,1
THIX_RS02010,1,1,1,1,1,1,1,1
THI_RS03855,1,1,1,1,1,1,1,1
TINT_RS03325,1,1,1,1,1,1,1,1
BVH73_RS04670,1,1,1,1,1,1,1,1
GO970_RS13795,1,1,1,1,1,1,1,1
GO948_RS04850,1,1,1,1,1,1,1,1
TOC7_RS13855,1,1,1,1,1,1,1,1
GO985_RS16890,1,1,1,1,1,1,1,1
THIX_RS02400,1,1,1,1,1,1,1,1
THI_RS05120,1,1,1,1,1,1,1,1
TINT_RS04390,1,1,1,1,1,1,1,1
BVH73_RS12350,1,1,1,1,1,1,1,1
GO970_RS04525,1,1,1,1,1,1,1,1
GO948_RS14080,1,1,1,1,1,1,1,1
TOC7_RS04500,1,1,1,1,1,1,1,1
GO985_RS07535,1,1,1,1,1,1,1,1
THIX_RS08250,1,1,1,1,1,1,1,1
THI_RS08105,1,1,1,1,1,1,1,1
TINT_RS08165,1,1,1,1,1,1,1,1
BVH73_RS14975,1,1,1,1,1,1,1,1
GO970_RS01015,1,1,1,1,1,1,1,1
GO948_RS17575,1,1,1,1,1,1,1,1
TOC7_RS01005,1,1,1,1,1,1,1,1
GO985_RS11035,1,1,1,1,1,1,1,1
THIX_RS05290,1,1,1,1,1,1,1,1
THI_RS10510,1,1,1,1,1,1,1,1
TINT_RS09305,1,1,1,1,1,1,1,1
BVH73_RS01400,1,1,1,1,1,1,1,1
GO970_RS03050,1,1,1,1,1,1,1,1
GO948_RS15535,1,1,1,1,1,1,1,1
TOC7_RS03045,1,1,1,1,1,1,1,1
GO985_RS08995,1,1,1,1,1,1,1,1
THIX_RS13525,1,1,1,1,1,1,1,1
THI_RS04700,1,1,1,1,1,1,1,1
TINT_RS03985,1,1,1,1,1,1,1,1
BVH73_RS04015,1,1,0,0,0,0,0,1
GO970_RS04940,1,1,0,0,0,0,0,1
GO948_RS13665,1,1,0,0,0,0,0,1
TOC7_RS04915,1,1,0,0,0,0,0,1
GO985_RS07120,1,1,0,0,0,0,0,1
THIX_RS20295,1,1,0,0,0,0,0,1
THI_RS08460,1,1,0,0,0,0,0,1
TINT_RS07280,1,1,0,0,0,0,0,1
BVH73_RS15240,1,1,0,0,0,0,0,1
GO970_RS00665,1,1,0,0,0,0,0,1
GO948_RS17925,1,1,0,0,0,0,0,1
TOC7_RS00655,1,1,0,0,0,0,0,1
GO985_RS11380,1,1,0,0,0,0,0,1
THIX_RS13875,1,1,0,0,0,0,0,1
THI_RS12790,1,1,0,0,0,0,0,1
TINT_RS11970,1,1,0,0,0,0,0,1
BVH73_RS11350,1,1,0,0,0,0,0,1
GO970_RS14630,1,1,0,0,0,0,0,1
GO948_RS04045,1,1,0,0,0,0,0,1
TOC7_RS14730,1,1,0,0,0,0,0,1
GO985_RS16065,1,1,0,0,0,0,0,1
THIX_RS07070,1,1,0,0,0,0,0,1
THI_RS04640,1,1,0,0,0,0,0,1
TINT_RS03940,1,1,0,0,0,0,0,1
BVH73_RS04070,1,1,0,0,0,0,0,1
GO970_RS04985,1,1,0,0,0,0,0,1
GO948_RS13620,1,1,0,0,0,0,0,1
TOC7_RS04960,1,1,0,0,0,0,0,1
GO985_RS07075,1,1,0,0,0,0,0,1
THIX_RS07815,1,1,0,0,0,0,0,1
THI_RS11065,1,1,0,0,0,0,0,1
TINT_RS10415,1,1,0,0,0,0,0,1
BVH73_RS02165,0,1,0,1,0,1,0,0
GO970_RS16165,1,0,0,0,1,1,1,1
GO948_RS02510,0,0,0,1,1,1,1,1
TOC7_RS16265,0,0,0,1,1,1,1,1
GO985_RS14530,0,0,0,1,1,1,1,1
THIX_RS18680,0,0,0,1,1,1,1,1
THI_RS00490,0,0,0,1,1,1,1,1
TINT_RS00460,0,0,0,1,1,1,1,1
BVH73_RS09000,0,0,0,1,1,1,1,1
GO970_RS09905,0,0,0,1,1,1,1,1
GO948_RS08735,0,0,0,1,1,1,1,1
TOC7_RS09915,0,0,0,1,1,1,1,1
GO985_RS02160,0,0,0,1,1,1,1,1
THIX_RS01480,0,0,0,1,1,1,1,1
THI_RS02645,0,0,0,1,1,1,1,1
TINT_RS02440,0,0,0,1,1,1,1,1
BVH73_RS02785,0,0,0,1,1,1,1,1
GO970_RS12770,0,0,0,1,1,1,1,1
GO948_RS05875,0,0,0,1,1,1,1,1
TOC7_RS12830,0,0,0,1,1,1,1,1
GO985_RS17915,0,0,0,1,1,1,1,1
THIX_RS19385,0,0,0,1,1,1,1,1
THI_RS01200,0,0,0,1,1,1,1,1
TINT_RS01100,0,0,0,1,1,1,1,1
BVH73_RS09640,0,0,0,1,1,1,1,1
GO970_RS10540,0,0,0,1,1,1,1,1
GO948_RS08095,0,0,0,1,1,1,1,1
TOC7_RS10570,0,0,0,1,1,1,1,1
GO985_RS01520,0,0,0,1,1,1,1,1
THIX_RS03560,0,0,0,1,1,1,1,1
THI_RS06095,0,0,0,1,1,1,1,1
TINT_RS05275,0,0,0,1,1,1,1,1
BVH73_RS12975,0,0,0,1,1,1,1,1
GO970_RS03630,0,0,0,1,1,1,1,1
GO948_RS14975,0,0,0,1,1,1,1,1
TOC7_RS03605,0,0,0,1,1,1,1,1
GO985_RS08430,0,0,0,1,1,1,1,1
THIX_RS09480,0,0,0,1,1,1,1,1
THI_RS07605,0,0,0,1,1,1,1,1
TINT_RS06705,0,0,0,1,1,1,1,1
BVH73_RS14665,0,0,0,1,1,1,1,1
GO970_RS01355,0,0,0,1,1,1,1,1
GO948_RS17235,0,0,0,1,1,1,1,1
TOC7_RS01345,0,0,0,1,1,1,1,1
GO985_RS10695,0,0,0,1,1,1,1,1
THIX_RS18700,0,0,0,1,1,1,1,1
THI_RS08335,0,0,0,1,1,1,1,1
TINT_RS07155,0,0,0,1,1,1,1,1
BVH73_RS15165,0,0,0,1,1,1,1,1
GO970_RS00800,0,0,0,1,1,1,1,1
GO948_RS17790,0,0,0,1,1,1,1,1
TOC7_RS00790,0,0,0,1,1,1,1,1
GO985_RS11250,0,0,0,1,1,1,1,1
THIX_RS03230,0,0,0,1,1,1,1,1
THI_RS12210,0,0,0,1,1,1,1,1
TINT_RS11455,0,0,0,1,1,1,1,1
BVH73_RS11870,0,0,0,1,1,1,1,1
GO970_RS15150,0,0,0,1,1,1,1,1
GO948_RS03525,0,0,0,1,1,1,1,1
TOC7_RS15250,0,0,0,1,1,1,1,1
GO985_RS15545,0,0,0,1,1,1,1,1
THIX_RS19220,0,0,0,1,1,1,1,1
THI_RS18525,0,0,0,1,1,1,1,1
TINT_RS16770,0,0,0,1,1,1,1,1
BVH73_RS11030,0,0,0,1,1,1,1,1
GO970_RS14355,0,0,0,1,1,1,1,1
GO948_RS04320,0,0,0,1,1,1,1,1
TOC7_RS14455,0,0,0,1,1,1,1,1
GO985_RS16340,0,0,0,1,1,1,1,1
THIX_RS07665,0,0,0,1,1,1,1,1
THI_RS13695,0,0,0,1,1,1,1,1
TINT_RS12865,0,0,0,1,1,1,1,1
BVH73_RS10625,0,0,0,1,1,1,1,1
GO970_RS05980,0,0,0,1,1,1,1,1
GO948_RS12620,0,0,0,1,1,1,1,1
TOC7_RS05980,0,0,0,1,1,1,1,1
GO985_RS06090,0,0,0,1,1,1,1,1
THIX_RS13790,0,0,0,1,1,1,1,1
THI_RS10345,0,0,0,1,1,1,1,1
TINT_RS09155,0,0,0,1,1,1,1,1
BVH73_RS01195,0,0,0,1,1,1,1,1
GO970_RS02880,0,0,0,1,1,1,1,1
GO948_RS15705,0,0,0,1,1,1,1,1
TOC7_RS02875,0,0,0,1,1,1,1,1
GO985_RS09165,0,0,0,1,1,1,1,1
THIX_RS15380,0,0,0,1,1,1,1,1
THI_RS01815,0,0,0,1,1,1,1,1
TINT_RS01775,0,0,0,1,1,1,1,1
BVH73_RS05780,0,0,0,1,1,1,1,1
GO970_RS11355,0,0,0,1,1,1,1,1
GO948_RS07275,0,0,0,1,1,1,1,1
TOC7_RS11410,0,0,0,1,1,1,1,1
GO985_RS00705,0,0,0,1,1,1,1,1
THIX_RS04755,0,0,0,1,1,1,1,1
THI_RS01840,0,0,0,1,1,1,1,1
TINT_RS01800,0,0,0,1,1,1,1,1
BVH73_RS05755,0,0,0,1,1,1,1,1
GO970_RS11380,0,0,0,1,1,1,1,1
GO948_RS07250,0,0,0,1,1,1,1,1
TOC7_RS11435,0,0,0,1,1,1,1,1
GO985_RS00680,0,0,0,1,1,1,1,1
THIX_RS04780,0,0,0,1,1,1,1,1
THI_RS05570,0,0,0,1,1,1,1,1
TINT_RS04825,0,0,0,1,1,1,1,1
BVH73_RS12800,0,0,0,1,1,1,1,1
GO970_RS04075,0,0,0,1,1,1,1,1
GO948_RS14530,0,0,0,1,1,1,1,1
TOC7_RS04050,0,0,0,1,1,1,1,1
GO985_RS07985,0,0,0,1,1,1,1,1
THIX_RS05410,0,0,0,1,1,1,1,1
THI_RS05670,0,0,0,1,1,1,1,1
TINT_RS04930,0,0,0,1,1,1,1,1
BVH73_RS12845,0,0,0,1,1,1,1,1
GO970_RS03965,0,0,0,1,1,1,1,1
GO948_RS14640,0,0,0,1,1,1,1,1
TOC7_RS03940,0,0,0,1,1,1,1,1
GO985_RS08095,0,0,0,1,1,1,1,1
THIX_RS05440,0,0,0,1,1,1,1,1
THI_RS07380,0,0,0,1,1,1,1,1
TINT_RS06475,0,0,0,1,1,1,1,1
BVH73_RS14440,0,0,0,1,1,1,1,1
GO970_RS01595,0,0,0,1,1,1,1,1
GO948_RS16995,0,0,0,1,1,1,1,1
TOC7_RS01585,0,0,0,1,1,1,1,1
GO985_RS10455,0,0,0,1,1,1,1,1
THIX_RS11700,0,0,0,1,1,1,1,1
THI_RS05090,0,0,0,1,1,1,1,1
TINT_RS04360,0,0,0,1,1,1,1,1
BVH73_RS03685,0,0,0,1,1,1,1,1
GO970_RS04555,0,0,0,1,1,1,1,1
GO948_RS14050,0,0,0,1,1,1,1,1
TOC7_RS04530,0,0,0,1,1,1,1,1
GO985_RS07505,0,0,0,1,1,1,1,1
THIX_RS19960,0,0,0,1,1,1,1,1
THI_RS11490,0,0,0,1,0,1,1,0
TINT_RS10840,0,0,0,1,0,1,1,0
BVH73_RS03400,0,0,0,1,0,1,1,0
GO970_RS15700,1,0,0,0,1,0,0,0
GO948_RS02975,0,1,1,1,1,1,1,1
TOC7_RS15800,0,1,1,1,1,1,1,1
GO985_RS14995,0,1,1,1,1,1,1,1
THIX_RS04290,0,1,1,1,1,1,1,1
THI_RS12515,0,1,1,1,1,1,1,1
TINT_RS11760,0,1,1,1,1,1,1,1
BVH73_RS11560,0,1,1,1,1,1,1,1
GO970_RS14840,0,1,1,1,1,1,1,1
GO948_RS03835,0,1,1,1,1,1,1,1
TOC7_RS14940,0,1,1,1,1,1,1,1
GO985_RS15855,0,1,1,1,1,1,1,1
THIX_RS06140,0,1,1,1,1,1,1,1
THI_RS13850,0,1,1,1,1,1,1,1
TINT_RS13020,0,1,1,1,1,1,1,1
BVH73_RS10460,0,1,1,1,1,1,1,1
GO970_RS06140,0,1,1,1,1,1,1,1
GO948_RS12460,0,1,1,1,1,1,1,1
TOC7_RS06140,0,1,1,1,1,1,1,1
GO985_RS05930,0,1,1,1,1,1,1,1
THIX_RS04575,0,1,1,1,1,1,1,1
THI_RS13950,0,1,1,1,1,1,1,1
TINT_RS13120,0,1,1,1,1,1,1,1
BVH73_RS10340,0,1,1,1,1,1,1,1
GO970_RS06245,0,1,1,1,1,1,1,1
GO948_RS12355,0,1,1,1,1,1,1,1
TOC7_RS06245,0,1,1,1,1,1,1,1
GO985_RS05825,0,1,1,1,1,1,1,1
THIX_RS20580,0,1,1,1,1,1,1,1
THI_RS15850,0,1,1,1,1,1,1,1
TINT_RS14395,0,1,1,1,1,1,1,1
BVH73_RS06965,0,1,1,1,1,1,1,1
GO970_RS07505,0,1,1,1,1,1,1,1
GO948_RS11095,0,1,1,1,1,1,1,1
TOC7_RS07520,0,1,1,1,1,1,1,1
GO985_RS04560,0,1,1,1,1,1,1,1
THIX_RS20645,0,1,1,1,1,1,1,1
THI_RS00135,0,1,1,1,1,1,1,1
TINT_RS00145,0,1,1,1,1,1,1,1
BVH73_RS08645,0,1,1,1,1,1,1,1
GO970_RS09600,0,1,1,1,1,1,1,1
GO948_RS09040,0,1,1,1,1,1,1,1
TOC7_RS09610,0,1,1,1,1,1,1,1
GO985_RS02465,0,1,1,1,1,1,1,1
THIX_RS20830,0,1,1,1,1,1,1,1
THI_RS05215,0,1,1,1,1,1,1,1
TINT_RS04485,0,1,1,1,1,1,1,1
BVH73_RS12440,0,1,1,1,1,1,1,1
GO970_RS04420,0,1,1,1,1,1,1,1
GO948_RS14185,0,1,1,1,1,1,1,1
TOC7_RS04395,0,1,1,1,1,1,1,1
GO985_RS07640,0,1,1,1,1,1,1,1
THIX_RS05360,0,1,0,1,1,1,1,1
THI_RS08290,0,1,0,1,1,1,1,1
TINT_RS07110,0,1,0,1,1,1,1,1
BVH73_RS15120,0,1,0,1,1,1,1,1
GO970_RS00845,0,1,0,1,1,1,1,1
GO948_RS17745,0,1,0,1,1,1,1,1
TOC7_RS00835,0,1,0,1,1,1,1,1
GO985_RS11205,0,1,0,1,1,1,1,1
THIX_RS09540,0,1,0,1,1,1,1,1
THI_RS08310,0,1,0,1,1,1,1,1
TINT_RS07130,0,1,0,1,1,1,1,1
BVH73_RS15140,0,1,0,1,1,1,1,1
GO970_RS00825,0,1,0,1,1,1,1,1
GO948_RS17765,0,1,0,1,1,1,1,1
TOC7_RS00815,0,1,0,1,1,1,1,1
GO985_RS11225,0,1,0,1,1,1,1,1
THIX_RS17545,0,1,0,1,1,1,1,1
THI_RS09515,0,1,0,1,1,1,1,1
TINT_RS08340,0,1,0,1,1,1,1,1
BVH73_RS14000,0,1,0,1,1,1,1,1
GO970_RS18510,0,1,0,1,1,1,1,1
GO948_RS00160,0,1,0,1,1,1,1,1
TOC7_RS18625,0,1,0,1,1,1,1,1
GO985_RS12185,0,1,0,1,1,1,1,1
THIX_RS09585,0,1,0,1,1,1,1,1
THI_RS08165,0,1,0,1,1,1,1,1
TINT_RS08105,0,1,0,1,1,1,1,1
BVH73_RS15040,0,1,0,1,1,1,1,1
GO970_RS00955,0,1,0,1,1,1,1,1
GO948_RS17635,0,1,0,1,1,1,1,1
TOC7_RS00945,0,1,0,1,1,1,1,1
GO985_RS11095,0,1,0,1,1,1,1,1
THIX_RS09855,0,1,0,1,1,1,1,1
THI_RS08340,0,1,0,1,1,1,1,1
TINT_RS07160,0,1,0,1,1,1,1,1
BVH73_RS15170,0,1,0,1,1,1,1,1
GO970_RS00795,0,1,0,1,1,1,1,1
GO948_RS17795,0,1,0,1,1,1,1,1
TOC7_RS00785,0,1,0,1,1,1,1,1
GO985_RS11255,0,1,0,1,1,1,1,1
THIX_RS16775,0,1,0,1,1,1,1,1
THI_RS09555,0,1,0,1,1,1,1,1
TINT_RS08380,0,1,0,1,1,1,1,1
BVH73_RS13965,0,1,0,1,1,1,1,1
GO970_RS18470,0,1,0,1,1,1,1,1
GO948_RS00200,0,1,0,1,1,1,1,1
TOC7_RS18585,0,1,0,1,1,1,1,1
GO985_RS12225,0,1,0,1,1,1,1,1
THIX_RS13810,0,1,0,1,1,1,1,1
THI_RS10710,0,1,0,1,1,1,1,1
TINT_RS09905,0,1,0,1,1,1,1,1
